STAT-00036 | -0.2469 | -0.4834 | 23.9936 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00037 | -0.2994 | -0.6058 | 3.5702 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00038 | -0.3953 | -0.5174 | 85.6619 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00039 | -0.5222 | -0.2636 | 59.2720 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00040 | -0.6679 | 0.0569 | 0.3501 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00041 | -0.8107 | 0.3248 | 44.6620 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00042 | -0.9234 | 0.4453 | 66.4652 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00043 | -0.9869 | 0.3858 | 64.0104 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00044 | -0.9964 | 0.1851 | 19.5597 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00045 | -0.9588 | -0.0665 | 24.4478 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00046 | -0.8864 | -0.2675 | 15.3760 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00047 | -0.7935 | -0.3478 | 3.7738 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00048 | -0.6965 | -0.2913 | 6.0223 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00049 | -0.6131 | -0.1347 | 4.6810 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00050 | -0.5577 | 0.0544 | 27.4700 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00051 | -0.5368 | 0.2054 | 49.8026 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00052 | -0.5485 | 0.2692 | 8.4039 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00053 | -0.5864 | 0.2321 | 38.6246 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00054 | -0.6429 | 0.1163 | 30.4851 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00055 | -0.7090 | -0.0298 | 9.4972 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00056 | -0.7734 | -0.1504 | 84.0934 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00057 | -0.8248 | -0.2033 | 20.5873 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00058 | -0.8551 | -0.1751 | 63.5980 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00059 | -0.8614 | -0.0841 | 74.4459 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00060 | -0.8459 | 0.0294 | 65.1523 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00061 | -0.8136 | 0.1206 | 15.0374 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00062 | -0.7713 | 0.1577 | 56.8833 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00063 | -0.7270 | 0.1328 | 14.2511 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00064 | -0.6885 | 0.0618 | 6.1398 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00065 | -0.6620 | -0.0246 | 12.3080 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00066 | -0.6508 | -0.0934 | 15.6266 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00067 | -0.6549 | -0.1217 | 83.2578 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00068 | -0.6718 | -0.1033 | 75.1138 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00069 | -0.6977 | -0.0493 | 36.3323 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00070 | -0.7278 | 0.0173 | 34.1447 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00071 | -0.7567 | 0.0709 | 19.9180 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00072 | -0.7796 | 0.0929 | 13.0032 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00073 | -0.7931 | 0.0784 | 35.0182 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00074 | -0.7958 | 0.0362 | 25.6807 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00075 | -0.7887 | -0.0152 | 8.5510 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00076 | -0.7738 | -0.0558 | 45.2594 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00077 | -0.7545 | -0.0718 | 68.5236 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00078 | -0.7343 | -0.0597 | 64.0609 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00079 | -0.7168 | -0.0269 | 40.8035 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00080 | -0.7048 | 0.0125 | 73.5964 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00081 | -0.6996 | 0.0433 | 31.7615 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00082 | -0.7014 | 0.0553 | 44.4535 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00083 | -0.7092 | 0.0459 | 32.2908 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00084 | -0.7211 | 0.0207 | 23.2289 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00085 | -0.7348 | -0.0095 | 17.9806 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00086 | -0.7478 | -0.0333 | 13.5968 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00087 | -0.7580 | -0.0424 | 9.8187 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00088 | -0.7640 | -0.0350 | 73.2624 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00089 | -0.7651 | -0.0154 | 16.8750 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00090 | -0.7617 | 0.0079 | 19.5019 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00091 | -0.7549 | 0.0260 | 16.6691 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00092 | -0.7460 | 0.0327 | 67.9210 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00093 | -0.7369 | 0.0267 | 11.1674 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00094 | -0.7290 | 0.0115 | 34.8233 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00095 | -0.7235 | -0.0064 | 36.4504 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00096 | -0.7213 | -0.0202 | 10.1440 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00097 | -0.7221 | -0.0251 | 69.5982 | LOCAL_MINIMA_BOTTLENECK_HAZARD | TRIGGER_DYNAMIC_VELOCITY_BURST_KICK | 422
STAT-00098 | -0.7258 | -0.0204 | 49.2312 | LOCAL_MINIMA_BOTTLENECK_HAZARD | TRIGGER_DYNAMIC_VELOCITY_BURST_KICK | 422
STAT-00099 | -0.7312 | -0.0087 | 96.6886 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00100 | -0.7374 | 0.0050 | 18.0129 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00101 | -0.7433 | 0.0156 | 71.6441 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00102 | -0.7479 | 0.0193 | 19.9295 | LOCAL_MINIMA_BOTTLENECK_HAZARD | TRIGGER_DYNAMIC_VELOCITY_BURST_KICK | 422
STAT-00103 | -0.7505 | 0.0156 | 55.8759 | LOCAL_MINIMA_BOTTLENECK_HAZARD | TRIGGER_DYNAMIC_VELOCITY_BURST_KICK | 422
STAT-00104 | -0.7509 | 0.0065 | 2.2956 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00105 | -0.7493 | -0.0041 | 35.8437 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00106 | -0.7462 | -0.0121 | 7.0574 | CONVERGING_GLOBAL_MINIMA_TARGET | COMMIT_OPTIMIZED_MATRIX_WEIGHT_STEP | 200
STAT-00107 | -0.7421 | -0.0149 | 18.2192 | LOCAL_MINIMA_BOTTLENECK_HAZARD | TRIGGER_DYNAMIC_VELOCITY_BURST_KICK | 422
